transaction_id,customer_id,customer_name,customer_age,gender,product_id,product_name,product_category,quantity,price,payment_mode,purchase_date,time_of_purchase,status,row_id
TXN886726,CUST4481,Dhanush Bhakta,41,Male,P8464,Sofa,Furniture,5,21410,UPI,29-08-2023,08:16:22,pending,1
TXN941069,CUST9221,Anahita Shenoy,46,Female,P7932,Sunglasses,Accessories,2,1156,Cash,04-06-2023,16:24:21,pending,2
TXN737152,CUST1003,Mahika Saini,35,Female,P3228,Bed,Furniture,4,13332,Credit Card,14-10-2023,20:59:58,pending,3
TXN179947,CUST7752,Nayantara Ben,51,Female,P7738,T-Shirt,Clothing,3,7989,Credit Card,18-05-2023,23:48:18,pending,4
TXN132714,CUST9088,Samaira Bora,29,Female,P9223,Sunglasses,Accessories,4,13828,UPI,16-09-2023,17:36:13,cancelled,5
TXN570157,CUST1985,Rhea Manda,45,Female,P5718,Wardrobe,Furniture,4,6120,EMI,23-11-2023,00:43:18,delivered,7
TXN539308,CUST4895,Shaan Wali,47,Male,P4430,Sweater,Clothing,1,1877,UPI,05-08-2023,12:50:42,cancelled,8
TXN812961,CUST8436,Siya Mane,39,Female,P1599,Vegetables,Groceries,4,7564,EMI,08-12-2023,11:27:03,returned,9
TXN286105,CUST3880,Parinaaz Subramanian,33,Male,P5311,Jeans,Clothing,2,4118,Cash,05-08-2023,16:55:41,returned,10
TXN470607,CUST7531,Samaira Jani,29,Female,P9727,Notebook,Books,2,9016,Cash,29-11-2023,20:38:25,delivered,11
TXN966502,CUST7879,Sana Mahal,44,Female,P2288,Wheat,Groceries,2,6012,Credit Card,16-09-2023,16:25:58,returned,12
TXN217458,CUST9221,Anahita Shenoy,46,Female,P3359,Dining Table,Furniture,5,14240,UPI,13-08-2023,18:47:24,pending,13
TXN625050,CUST9661,Divyansh Bhargava,31,Female,P3242,Sofa,Furniture,2,9818,EMI,03-12-2023,13:42:57,returned,14
